"Memory","Depth","Family","Seed","Accuracy","Exact"
"baseline","1","ColorTransformation","1","1","True"
"baseline","1","ColorTransformation","2","1","True"
"baseline","1","ColorTransformation","3","1","True"
"baseline","1","ColorTransformation","4","1","True"
"baseline","1","ColorTransformation","5","1","True"
"baseline","1","ColorTransformation","6","1","True"
"baseline","1","ColorTransformation","7","1","True"
"baseline","1","ColorTransformation","8","1","True"
"baseline","1","ColorTransformation","9","1","True"
"baseline","1","ColorTransformation","10","1","True"
"baseline","1","ColorTransformation","11","1","True"
"baseline","1","ColorTransformation","12","1","True"
"baseline","1","ColorTransformation","13","1","True"
"baseline","1","ColorTransformation","14","1","True"
"baseline","1","ColorTransformation","15","1","True"
"baseline","1","ColorTransformation","16","1","True"
"baseline","1","ColorTransformation","17","1","True"
"baseline","1","ColorTransformation","18","1","True"
"baseline","1","ColorTransformation","19","1","True"
"baseline","1","ColorTransformation","20","1","True"
"baseline","1","Translation","1","1","True"
"baseline","1","Translation","2","1","True"
"baseline","1","Translation","3","1","True"
"baseline","1","Translation","4","1","True"
"baseline","1","Translation","5","1","True"
"baseline","1","Translation","6","1","True"
"baseline","1","Translation","7","1","True"
"baseline","1","Translation","8","1","True"
"baseline","1","Translation","9","1","True"
"baseline","1","Translation","10","1","True"
"baseline","1","Translation","11","1","True"
"baseline","1","Translation","12","1","True"
"baseline","1","Translation","13","1","True"
"baseline","1","Translation","14","1","True"
"baseline","1","Translation","15","1","True"
"baseline","1","Translation","16","1","True"
"baseline","1","Translation","17","1","True"
"baseline","1","Translation","18","1","True"
"baseline","1","Translation","19","1","True"
"baseline","1","Translation","20","1","True"
"baseline","4","ColorTransformation","1","1","True"
"baseline","4","ColorTransformation","2","1","True"
"baseline","4","ColorTransformation","3","1","True"
"baseline","4","ColorTransformation","4","1","True"
"baseline","4","ColorTransformation","5","1","True"
"baseline","4","ColorTransformation","6","1","True"
"baseline","4","ColorTransformation","7","1","True"
"baseline","4","ColorTransformation","8","1","True"
"baseline","4","ColorTransformation","9","1","True"
"baseline","4","ColorTransformation","10","1","True"
"baseline","4","ColorTransformation","11","1","True"
"baseline","4","ColorTransformation","12","1","True"
"baseline","4","ColorTransformation","13","1","True"
