family,memory_mode,reasoning_depth,grid_rows,grid_cols,demonstrations,seed,exact_match,cell_accuracy,correct_cells,total_cells,memory_norm,effective_rank,entropy,interference_score,reconstruction_error,mean_sparsity,reasoning_steps,halting_step
ColorTransformation,baseline,1,5,5,3,1,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5061383928571429,2,-1
ColorTransformation,baseline,1,5,5,3,2,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5008370535714286,2,-1
ColorTransformation,baseline,1,5,5,3,3,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5178571428571429,2,-1
ColorTransformation,baseline,1,5,5,3,4,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5139508928571429,2,-1
ColorTransformation,baseline,1,5,5,3,5,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5164620535714286,2,-1
ColorTransformation,baseline,1,5,5,3,6,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5128348214285714,2,-1
ColorTransformation,baseline,1,5,5,3,7,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5267857142857143,2,-1
ColorTransformation,baseline,1,5,5,3,8,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49637276785714285,2,-1
ColorTransformation,baseline,1,5,5,3,9,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5036272321428571,2,-1
ColorTransformation,baseline,1,5,5,3,10,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4790736607142857,2,-1
ColorTransformation,baseline,1,5,5,3,11,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49386160714285715,2,-1
ColorTransformation,baseline,1,5,5,3,12,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4927455357142857,2,-1
ColorTransformation,baseline,1,5,5,3,13,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5186941964285714,2,-1
ColorTransformation,baseline,1,5,5,3,14,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49581473214285715,2,-1
ColorTransformation,baseline,1,5,5,3,15,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.47935267857142855,2,-1
ColorTransformation,baseline,1,5,5,3,16,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4829799107142857,2,-1
ColorTransformation,baseline,1,5,5,3,17,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5041852678571429,2,-1
ColorTransformation,baseline,1,5,5,3,18,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5061383928571429,2,-1
ColorTransformation,baseline,1,5,5,3,19,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4946986607142857,2,-1
ColorTransformation,baseline,1,5,5,3,20,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49051339285714285,2,-1
ColorTransformation,baseline,4,5,5,3,1,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5061383928571429,5,-1
ColorTransformation,baseline,4,5,5,3,2,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5008370535714286,5,-1
ColorTransformation,baseline,4,5,5,3,3,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5178571428571429,5,-1
ColorTransformation,baseline,4,5,5,3,4,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5139508928571429,5,-1
ColorTransformation,baseline,4,5,5,3,5,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5164620535714286,5,-1
ColorTransformation,baseline,4,5,5,3,6,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5128348214285714,5,-1
ColorTransformation,baseline,4,5,5,3,7,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5267857142857143,5,-1
ColorTransformation,baseline,4,5,5,3,8,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49637276785714285,5,-1
ColorTransformation,baseline,4,5,5,3,9,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5036272321428571,5,-1
ColorTransformation,baseline,4,5,5,3,10,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4790736607142857,5,-1
ColorTransformation,baseline,4,5,5,3,11,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49386160714285715,5,-1
ColorTransformation,baseline,4,5,5,3,12,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4927455357142857,5,-1
ColorTransformation,baseline,4,5,5,3,13,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5186941964285714,5,-1
ColorTransformation,baseline,4,5,5,3,14,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49581473214285715,5,-1
ColorTransformation,baseline,4,5,5,3,15,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.47935267857142855,5,-1
ColorTransformation,baseline,4,5,5,3,16,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4829799107142857,5,-1
ColorTransformation,baseline,4,5,5,3,17,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5041852678571429,5,-1
ColorTransformation,baseline,4,5,5,3,18,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5061383928571429,5,-1
ColorTransformation,baseline,4,5,5,3,19,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4946986607142857,5,-1
ColorTransformation,baseline,4,5,5,3,20,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49051339285714285,5,-1
ColorTransformation,baseline,8,5,5,3,1,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5061383928571429,9,-1
ColorTransformation,baseline,8,5,5,3,2,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5008370535714286,9,-1
ColorTransformation,baseline,8,5,5,3,3,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5178571428571429,9,-1
ColorTransformation,baseline,8,5,5,3,4,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5139508928571429,9,-1
ColorTransformation,baseline,8,5,5,3,5,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5164620535714286,9,-1
ColorTransformation,baseline,8,5,5,3,6,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5128348214285714,9,-1
ColorTransformation,baseline,8,5,5,3,7,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5267857142857143,9,-1
ColorTransformation,baseline,8,5,5,3,8,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49637276785714285,9,-1
ColorTransformation,baseline,8,5,5,3,9,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5036272321428571,9,-1
ColorTransformation,baseline,8,5,5,3,10,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4790736607142857,9,-1
ColorTransformation,baseline,8,5,5,3,11,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49386160714285715,9,-1
ColorTransformation,baseline,8,5,5,3,12,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4927455357142857,9,-1
